n,p,Algorithm,Algorithm Group,Avg Runtime (s),Std Runtime (s),Avg Final Suboptimality,Std Final Suboptimality,Avg Iter to 1e-3,Success Rate (%),Time per Iter (ms),Raw Final Suboptimality
100,20,BCD (Adaptive),Coordinate Descent,0.0403,0.001,1.27e-15,5.36e-16,4.0,100.0,0.4,1.2662403851534088e-15
100,20,FISTA (Adaptive),Proximal Gradient,0.005,0.0006,1.50e-15,9.45e-16,9.9,100.0,0.05,1.503087963740109e-15
100,20,FISTA (Restart+Adaptive),Proximal Gradient,0.0054,0.0005,1.18e-15,3.28e-16,8.1,100.0,0.05,1.1811499291933922e-15
100,20,ADMM (rho=0.5),ADMM,0.0303,0.0008,5.11e-12,2.51e-11,19.0,100.0,0.3,5.106174795575363e-12
100,20,ADMM (rho=1.0),ADMM,0.0299,0.0009,1.24e-15,5.29e-16,16.5,100.0,0.3,1.2403618238400672e-15
100,20,ADMM (rho=2.0),ADMM,0.0297,0.0008,1.52e-11,5.77e-11,21.6,100.0,0.3,1.5161446199245734e-11
100,20,SGD (Adaptive),Stochastic,0.0085,0.0006,4.21e+00,1.54e+00,Inf,0.0,0.08,4.20643432940744
100,20,Subgradient (Adaptive),Subgradient,0.0034,0.0004,4.14e+00,1.46e+00,Inf,0.0,0.03,4.139991771960639
200,50,BCD (Adaptive),Coordinate Descent,0.8734,0.0111,1.30e-15,6.67e-16,3.4,100.0,8.73,1.2995737184867422e-15
200,50,FISTA (Adaptive),Proximal Gradient,0.0507,0.0016,1.35e-15,6.72e-16,9.7,100.0,0.51,1.3513308411134256e-15
200,50,FISTA (Restart+Adaptive),Proximal Gradient,0.0516,0.0012,1.30e-15,6.67e-16,7.9,100.0,0.52,1.2995737184867422e-15
200,50,ADMM (rho=0.5),ADMM,0.1319,0.0011,1.72e-11,1.79e-11,23.5,100.0,1.32,1.721282375892012e-11
200,50,ADMM (rho=1.0),ADMM,0.13,0.0014,1.27e-15,5.36e-16,17.9,100.0,1.3,1.266240385153409e-15
200,50,ADMM (rho=2.0),ADMM,0.1298,0.0015,2.00e-13,4.46e-13,22.0,100.0,1.3,2.0032502174773156e-13
200,50,SGD (Adaptive),Stochastic,0.0272,0.0006,3.95e+00,1.29e+00,Inf,0.0,0.27,3.9528680675730032
200,50,Subgradient (Adaptive),Subgradient,0.0485,0.001,3.87e+00,1.17e+00,Inf,0.0,0.48,3.8742886796831653
500,100,BCD (Adaptive),Coordinate Descent,1.3908,0.0123,1.33e-15,6.70e-16,2.7,100.0,13.91,1.325452279800084e-15
500,100,FISTA (Adaptive),Proximal Gradient,0.0576,0.0012,1.30e-15,6.67e-16,11.3,100.0,0.58,1.2995737184867422e-15
500,100,FISTA (Restart+Adaptive),Proximal Gradient,0.0584,0.001,1.30e-15,6.67e-16,11.3,100.0,0.58,1.2995737184867422e-15
500,100,ADMM (rho=0.5),ADMM,0.4944,0.0125,2.42e-11,1.98e-11,25.0,100.0,4.94,2.4228130612868882e-11
500,100,ADMM (rho=1.0),ADMM,0.4906,0.0068,1.24e-15,5.29e-16,18.2,100.0,4.91,1.2403618238400672e-15
500,100,ADMM (rho=2.0),ADMM,0.4889,0.0035,1.35e-15,6.72e-16,21.6,100.0,4.89,1.3513308411134254e-15
500,100,SGD (Adaptive),Stochastic,0.03,0.001,1.63e+01,4.88e+00,Inf,0.0,0.3,16.34997059543463
500,100,Subgradient (Adaptive),Subgradient,0.0505,0.0011,2.39e+01,7.25e+00,Inf,0.0,0.51,23.91605752701535
200,200,BCD (Adaptive),Coordinate Descent,2.7135,0.0111,1.10e-15,2.64e-16,4.0,100.0,27.14,1.103514245253367e-15
200,200,FISTA (Adaptive),Proximal Gradient,0.0897,0.001,4.00e-11,9.03e-11,20.2,100.0,0.9,4.004891233459299e-11
200,200,FISTA (Restart+Adaptive),Proximal Gradient,0.0909,0.0014,4.00e-11,9.03e-11,20.2,100.0,0.91,4.004891233459299e-11
200,200,ADMM (rho=0.5),ADMM,0.5946,0.0268,7.24e-07,3.94e-07,45.2,100.0,5.95,7.238002915540184e-07
200,200,ADMM (rho=1.0),ADMM,0.5926,0.0202,9.88e-12,9.00e-12,26.1,100.0,5.93,9.884448815000723e-12
200,200,ADMM (rho=2.0),ADMM,0.5965,0.0628,7.02e-15,2.53e-14,25.3,100.0,5.97,7.020763183154242e-15
200,200,SGD (Adaptive),Stochastic,0.0287,0.0013,1.06e+01,2.79e+00,Inf,0.0,0.29,10.558209086273788
200,200,Subgradient (Adaptive),Subgradient,0.0497,0.0012,1.45e+01,3.87e+00,Inf,0.0,0.5,14.511591607350924
